Kabupaten/Kota,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk
Lampung Barat,315.9,1.12,3.35,150,106.9
Tanggamus,670.4,1.15,7.12,227,106.6
Lampung Selatan,1119.3,1.27,11.88,503,104.1
Lampung Timur,1153.8,0.96,12.25,299,103
Lampung Tengah,1525.1,1.1,16.19,334,103.9
Lampung Utara,659.9,1.04,7.01,247,103.2
Way Kanan,497.3,1.23,5.28,141,104.4
Tulangbawang,450.3,1.16,4.78,145,106.1
Pesawaran,500.3,1.17,5.31,388,105.4
Pringsewu,424.7,1.16,4.51,688,105
Mesuji,241.6,1.51,2.56,110,105.6
Tulang Bawang Barat,298.7,1.08,3.17,238,103.7
Pesisir Barat,172.3,1.45,1.83,59,107.5
Kota Bandar Lampung,1214.3,1.02,12.89,6609,103.5
Kota Metro,175.7,1.03,1.87,2400,100.8
Lampung,9419.6,1.12,100,281,104.3
,,,,,
Catatan,,,,,
1Luas wilayah berdasarkan Keputusan Menteri Dalam Negeri Nomor 050-145 Tahun 2022 tanggal 14 Februari 2022/<i>Area based on Decree of the Minister of Home Affairs Number 050-145 of 2022 dated 14 February 2022,,,,,
</i>,,,,,